story_id,keyword_id,keyword
1319,929,Buttern
1453,30,on cattle
15342,206,Etymologie
5811,5813,Herrenhaus
3616,29,witches
10323,198,Fuchs
9307,4,historical legends
11165,10143,Tasche
18823,80,werewolf
12209,1162,Gälknoeker
1866,195,Tiersage
12075,93,Toter
9198,6171,Kirchhof
10498,354,Berg
19302,6895,wie greifen
17765,41,local legends
5389,8,"Sage, historische"
822,824,weiblich: Deichsel
12647,938,Kloster
17556,626,Ewiger Jude
14264,3721,Feuer
8412,8419,blennlich
6989,466,Kirchliches
11788,937,Kirche
3098,32,Hexe
19328,467,Ecclesiastical
12621,12622,Abendbrot
1683,555,moort
2559,91,dead
11240,195,Tiersage
9252,205,local legends: churches and passages
13751,555,moort
17497,131,French people
19744,16,sacrilege
12062,7289,Kyffhäuser: Kaiser im Berg
9338,496,"Wiederkehr, Totenhemd"
2864,797,Blutstropfen etc.
3532,233,"Tiersagen, Märchen I"
16453,2413,Engelland
10837,1135,Zaum
15988,784,wissen
4207,330,Literature
4754,16,sacrilege
16732,29,witches
15320,6647,tragen Berge zusammen
11740,823,Wilde Jagd
2049,4,historical legends
12524,64,Blocksberg varia
8673,4,historical legends
1827,290,giants
5902,970,Melken
17321,80,werewolf
1330,29,witches
13352,93,Toter
8300,929,Buttern
14720,72,local legends: varia
3182,784,wissen
18152,31,Vieh
18050,16,sacrilege
15427,555,moort
8216,4867,Tagelöhner
1134,1137,Hexenhalfter
3555,45,Lokalsage
4284,4287,Berg vom Riesen zusammengetragen
136,149,Maitag
756,741,Blutfleck
17903,4,historical legends
12695,4,historical legends
2563,31,Vieh
18619,555,moort
17222,1064,"Unschuldig: Taube, Torgelow etc."
5105,131,French people
16413,3303,Papedönke
5930,929,Buttern
7562,3458,Menschenkeule
13379,1559,Allg.
4616,2350,jagen
5184,4475,The husband as werewolf
17087,16,sacrilege
16622,16,sacrilege
12804,12805,Teufelsbündner: Pferde festmachen
18301,942,Gewitter
16035,45,Lokalsage
4300,3211,Wiedergänger
8922,2087,"Ort, Orte, wo Räuber hausen"
14504,6587,"Tiere: Sagen, Märchen etc."
1733,1739,Kuhfütterer
13519,1162,Gälknoeker
8510,929,Buttern
19565,402,Kuh
18028,2375,Scheintoter
11174,93,Toter
2719,16,sacrilege
14194,946,"French people etc., search town"
4963,93,Toter
9016,117,quid
8726,480,Haberlandt
6957,1323,Berg nicht fortschaffen
16680,93,Toter
15016,117,quid
12118,131,French people
2344,214,"Historic, elderly"
14688,351,Schatzsage
13210,3677,stark
10088,223,Viting
6932,41,local legends
4693,1885,Gerichtsberg
13626,232,Tiermärchen
19328,16,sacrilege
924,928,buttern
17801,545,See (der)
11532,91,dead
1945,16,sacrilege
9290,394,haunting animals
7565,8,"Sage, historische"
18973,18974,Ei
19762,4065,Totenkopf
15343,72,local legends: varia
9713,928,buttern
18152,29,witches
16421,16,sacrilege
18698,16,sacrilege
18461,18466,Schweineschwanz
11174,826,weiblich
16665,29,witches
2161,29,witches
10980,580,Hemd
14009,8074,anbinden
9516,29,witches
8154,354,Berg
13892,7587,Tote: Hand heraus etc.
7340,20,Man who move the boundaries
8083,1717,Sieve border
3632,140,When
10032,91,dead
16291,946,"French people etc., search town"
17835,8,"Sage, historische"
14492,2087,"Ort, Orte, wo Räuber hausen"
2870,45,Lokalsage
16531,91,dead
18806,16,sacrilege
8866,7739,Jäger
7471,16,sacrilege
13595,91,dead
9111,29,witches
14818,600,ewig
7712,198,Fuchs
17377,957,"Pumpfuß, Columbus"
12782,307,Wasser
2392,16,sacrilege
19207,290,giants
6377,16,sacrilege
8146,16,sacrilege
7790,52,Räuber
14899,407,Totenmesse
19808,543,Opfer
16010,394,haunting animals
1384,986,"30-/100-year war, blending"
13950,946,"French people etc., search town"
3421,482,Edelleute
10121,6441,Seeräuber Varia
1917,64,Blocksberg varia
7617,1093,Brüder
13163,16,sacrilege
10070,6609,Streiche
9085,6601,Wölfe zum Wallach gemacht
1555,4,historical legends
3510,784,wissen
9809,16,sacrilege
4182,16,sacrilege
19028,4973,Glaube
13159,131,French people
10969,91,dead
15196,1065,unschuldig
14978,8972,"Hunde, Brot, Bier"
13544,54,Störtebecker
1723,599,Ewig Leben: I
10788,1705,hart
7874,16,sacrilege
13097,32,Hexe
19454,407,Totenmesse
1259,93,Toter
18347,2202,Worauf
2371,91,dead
5876,5878,Johannisfest
11034,4,historical legends
1416,32,Hexe
2612,70,Horse shoe etc.
3616,140,When
12683,534,kämpfen
7050,5072,Treppe
19154,4,historical legends
17205,1069,Taube
4029,4034,"Gegenstände, Geräte Varia"
14618,442,Stadt
15638,10250,Spruch
18517,5814,Gott
7822,53,robbers
14607,407,Totenmesse
5686,5689,Faden
7389,16,sacrilege
19580,402,Kuh
7273,7013,Sand
10547,292,Riese
15549,253,tragen
9438,784,wissen
5749,1137,Hexenhalfter
2432,307,Wasser
1647,1024,Schäfer
4400,420,"Persönlichkeiten, Familie etc."
18016,91,dead
14587,3369,Wechselbalg I
12930,1405,Wallenstein
7914,91,dead
1194,1201,bluten
15609,29,witches
18019,40,Familie
14644,63,Blocksberg
9436,93,Toter
5216,19,Scheidengänger
14495,7912,Mauer
11785,4661,Maus
19973,29,witches
2612,45,Lokalsage
5470,16,sacrilege
18447,2202,Worauf
8060,70,Horse shoe etc.
3098,963,"Buttern, Lappen etc."
4837,2416,"Entheiligung des Feiertages, Karfreitag"
15502,354,Berg
5960,333,Räubersage
3430,626,Ewiger Jude
18228,18231,Puppe
17061,565,Varia II
14883,290,giants
6729,599,Ewig Leben: I
13117,29,witches
11851,53,robbers
9859,6647,tragen Berge zusammen
14126,2067,Names
13659,503,Treasure hunter
3283,732,Mecklenburg
19616,2878,"Gang, Lit."
5158,80,werewolf
18470,11732,Prügel
12198,290,giants
17493,32,Hexe
19521,16,sacrilege
8957,8960,Frage
6848,496,"Wiederkehr, Totenhemd"
8245,1706,Harte Herrin
15857,7361,Schlacht etc.
5889,309,Hochzeit
769,710,An Menschen
4954,1775,not to fear
5077,131,French people
15227,4661,Maus
5599,1528,devil
19589,1525,Teufel und Advokat
19485,1137,Hexenhalfter
16939,91,dead
5937,986,"30-/100-year war, blending"
2190,1988,Glocke
5790,466,Kirchliches
13268,1360,Grab
16047,360,Frau
10868,32,Hexe
5461,544,"See, Opfer, Varia"
18959,442,Stadt
18959,5,Danish people
5571,70,Horse shoe etc.
13761,2954,"Edelmann, Toter, Geld"
16100,29,witches
14298,555,moort
3616,142,"Hexenausritt, Termine"
2823,970,Melken
9449,292,Riese
11766,3677,stark
14960,3676,Starke Leute
18732,16,sacrilege
6811,72,local legends: varia
6322,4,historical legends
12094,16,sacrilege
1757,307,Wasser
19543,307,Wasser
7770,63,Blocksberg
14401,16,sacrilege
12728,3242,Botschaft vom Jenseits
18503,29,witches
13557,64,Blocksberg varia
4815,131,French people
12372,440,destruction
13194,354,Berg
14590,32,Hexe
18591,514,Glas
13060,5907,Elle
17916,9383,vidit
3294,626,Ewiger Jude
8256,91,dead
13045,8356,"Juden, Hostie"
16141,351,Schatzsage
17730,5814,Gott
2836,2839,zusehen
16952,1460,Steinsage
13096,29,witches
3763,169,The shot werewolf
14487,398,goldene Wiege
16762,16,sacrilege
4473,4481,Fransen
18109,290,giants
