story_id,louvain_community,greedy_community
8193,18,0
2,0,17
16387,18,0
16410,1,2
8226,12,0
38,18,0
16425,8,6
49,2,14
16433,18,0
16444,12,0
68,17,3
8267,3,7
16466,18,0
95,4,16
16486,12,0
127,1,2
16514,11,13
16522,5,9
16532,6,8
16567,18,0
16583,8,6
204,9,5
16598,7,1
220,7,1
16606,7,1
16611,18,0
237,7,1
16631,1,2
16633,7,1
281,4,16
16671,18,0
16676,18,0
16703,17,3
322,12,0
8523,5,9
338,7,1
16725,1,2
342,18,0
16739,18,0
8548,3,7
16747,0,17
373,9,5
16759,1,2
377,18,0
8570,17,3
384,9,5
16772,18,0
392,18,0
16777,12,0
16786,12,18
8601,3,7
8611,12,0
16804,7,1
8615,18,0
16821,8,6
8634,10,10
8637,8,6
8642,16,12
8653,14,4
16853,7,1
470,6,8
8663,10,10
8668,10,10
8673,11,13
8676,5,9
8691,9,5
16883,5,9
501,18,0
16890,11,13
8698,12,0
8708,18,0
521,12,0
8714,3,7
8715,16,0
532,11,13
16917,6,8
542,5,9
8747,17,3
16952,18,0
8766,18,0
16959,12,0
8775,17,3
8782,18,0
16987,12,0
16991,18,0
8805,15,8
17009,14,4
17010,18,0
8820,12,0
8822,10,10
17015,9,5
8824,12,18
8831,10,10
8833,12,0
645,16,12
8842,1,2
17034,1,2
17035,12,18
17037,14,4
8845,7,1
655,11,13
660,1,2
8852,18,0
17056,4,16
8892,7,1
8903,7,1
17097,18,0
717,8,6
8914,2,14
725,1,2
728,14,4
8935,3,7
17129,18,0
17135,16,12
17137,8,6
760,1,2
771,8,6
8969,16,12
8983,3,7
792,17,3
17177,6,11
791,18,0
17175,13,15
8990,2,14
804,9,5
17190,13,15
17199,14,4
9010,7,1
17202,11,13
822,16,12
834,3,7
9027,7,1
17220,18,0
9034,2,14
17237,18,0
855,17,3
9048,0,17
17258,3,7
892,18,0
9086,7,1
896,17,3
899,8,6
17306,3,7
9126,9,5
9127,7,1
9134,5,9
945,13,15
17333,18,0
9141,7,1
9164,15,8
9169,5,9
979,14,4
9174,15,8
984,6,11
9194,10,10
17389,6,11
17391,13,15
1012,6,11
9211,10,10
9212,18,0
17407,9,5
17418,17,3
17422,7,0
9231,12,0
9233,17,3
17436,16,12
17442,18,0
9252,15,5
17473,8,6
1090,18,0
9293,18,0
17495,14,4
17497,1,2
9307,9,5
17500,12,18
17501,14,4
17503,1,2
9313,18,0
9324,6,11
17522,9,5
9333,10,10
9341,10,10
9343,15,8
17540,14,4
17552,12,0
9362,5,9
17568,18,0
17574,18,0
1206,18,0
9398,8,6
1209,3,7
17594,12,0
1220,18,0
9435,18,0
9441,14,4
17644,6,8
9456,16,12
17659,11,13
17673,18,0
1322,8,6
17710,7,1
9523,5,9
17716,18,0
9526,13,15
1343,6,11
17729,7,1
1348,14,4
1371,8,6
17765,18,0
1384,6,11
1390,5,9
9583,3,7
17782,1,2
9591,17,4
17791,18,0
17800,9,5
17801,5,9
1443,8,6
17835,1,2
9647,3,7
17848,1,2
17857,18,0
1477,9,5
17867,2,14
17874,12,0
1494,16,12
9688,13,15
17885,1,2
1501,12,0
9695,18,0
9699,3,7
1507,17,3
17903,1,2
17931,18,0
1553,14,4
1555,15,8
1560,14,4
1562,1,2
1564,8,6
9756,16,12
17979,18,0
9791,18,0
9792,8,6
17985,11,13
17989,9,5
9798,8,6
9800,12,0
17998,6,8
1615,18,0
1623,1,2
18007,6,8
18014,18,0
9822,18,0
9826,17,3
9846,16,0
9850,5,9
9857,15,8
9859,10,10
1675,5,9
1677,11,13
1680,16,12
9874,14,4
9880,14,4
9888,10,10
9897,11,13
9900,9,5
1711,5,9
9904,12,0
9906,18,0
9911,18,0
9919,18,0
18120,5,9
1752,12,0
18139,18,0
1757,5,9
18142,14,4
1760,18,0
18145,14,4
18144,4,16
18148,1,2
9961,12,18
9966,17,3
9969,12,0
1787,6,8
18179,14,4
18183,9,5
9992,10,10
18187,17,3
9996,6,11
18211,18,0
18212,8,6
18215,8,6
18216,16,12
10033,15,8
1841,16,0
10035,5,9
1846,6,8
10042,7,1
1851,11,13
18237,17,3
18240,18,0
1857,9,5
18252,8,6
10062,1,2
1874,3,7
1875,1,2
18262,6,11
18264,13,15
1887,7,1
18274,9,5
10084,4,16
10088,7,1
18282,14,4
1904,18,0
18295,13,15
18300,6,11
1922,18,0
10120,0,17
1931,7,1
10129,7,1
18331,18,0
1950,1,2
18338,3,7
18345,18,0
1961,18,0
18348,17,3
10169,3,7
10172,7,1
18374,18,0
18376,3,7
1992,1,2
10192,3,7
10200,7,1
10205,7,1
10208,3,7
10217,2,14
10233,7,1
18425,18,0
2049,1,2
2059,2,14
10255,9,5
2066,18,0
18452,18,0
10264,7,1
10267,1,2
2093,1,2
18477,5,9
18492,14,4
18493,13,15
10305,7,1
10312,2,14
18509,6,11
2126,1,2
10319,18,0
18515,14,4
2132,1,2
18520,8,6
2160,17,3
18548,8,6
10358,15,8
10364,15,8
