louvain_community,place_name,story_count
0,Gresenhorst,3
0,Teterow,2
0,Bad Doberan,1
0,Biendorf,1
0,Dargun,1
0,Grevesmühlen,1
0,Langen Trechow,1
0,Parchim,1
1,Althagen,5
1,Eldena,4
1,Ribnitz-Damgarten,4
1,Waren,4
1,Bad Doberan,3
1,Feldberg,3
1,Kirchdorf auf Poel,3
1,Parchim,3
1,Schönberg,3
1,Fürstenhagen,2
2,Ribnitz-Damgarten,10
2,Kühlungsborn West,2
2,Tessin,2
2,Warnemünde,2
2,Wismar,2
2,Althagen,1
2,Bartelshagen,1
2,Damgartener Gegend,1
2,Eldena,1
2,Gelbensande,1
3,Feldberg,6
3,Neustrelitz,4
3,Malchow,3
3,Neukloster,2
3,Sülze,2
3,Waren,2
3,Wismar,2
3,Barkow,1
3,Bartenshagen,1
3,Basedow,1
4,Schönberg,2
4,Boitin-Resdorf,1
4,Campow,1
4,Dorf Mecklenburg,1
4,Köchelsdorf,1
4,Lieblingshof,1
4,Malchin,1
4,Neuhof,1
4,Niedersteffenshagen,1
4,Rostock,1
5,Neubrandenburg,2
5,Altstrelitz,1
5,Barkow,1
5,Bäbelin,1
5,Crivitz,1
5,Güstrow,1
5,Herrnburg,1
5,Kühlungsborn,1
5,Lehsen,1
5,Neukalen,1
6,Waren,5
6,Carwitz,2
6,Conow,2
6,Göhlen,2
6,Lübtheen,2
6,Neukloster,2
6,Neustrelitz,2
6,Ribnitz-Damgarten,2
6,Alt Jabel,1
6,Bad Doberan,1
7,Parchim,23
7,Spornitz,11
7,Neustadt-Glewe,10
7,Dütschow,5
7,Friedrichsruhe,5
7,Brenz,4
7,Ludwigslust,4
7,Tramm,4
7,Waren,4
7,Eldena,3
8,Teterow,7
8,Wismar,4
8,Kröpelin,3
8,Neu Wokern,2
8,Neukloster,2
8,Barkow,1
8,Bützow,1
8,Crivitz,1
8,Dütschow,1
8,Fürstensee,1
9,Altstrelitz,2
9,Conow,2
9,Penzlin,2
9,Ribnitz-Damgarten,2
9,Alt Karin,1
9,Dändorf,1
9,Friedland,1
9,Granzin,1
9,Hohen Viecheln,1
9,Klütz,1
10,Kühlungsborn,4
10,Wismar,2
10,Bad Doberan,1
10,Barkow,1
10,Biendorf,1
10,Biestow,1
10,Bützow,1
10,Dassow,1
10,Grambow,1
10,Güstrow,1
11,Eldena,3
11,Karenz,2
11,Lübtheen,2
11,Altstrelitz,1
11,Bad Doberan,1
11,Brüel,1
11,Golchen,1
11,Hagenow,1
11,Hamberge,1
11,Mölln,1
12,Börgerende,1
12,Ludwigslust,1
12,Röbel/Müritz,1
12,Rühn,1
12,Teterow,1
12,Völkshagen,1
12,Warnow,1
14,Kösterbeck,3
14,Waren,3
14,Hohenzieritz,2
14,Kröpelin,2
14,Neukalen,2
14,Neukloster,2
14,Tessin,2
14,Tewswoos,2
14,Wismar,2
14,Wustrow,2
15,Waren,4
15,Eldena,3
15,Alt Gaarz,2
15,Carwitz,2
15,Lübtheen,2
15,Alt Jabel,1
15,Behnkenhagen,1
15,Bützow,1
15,Feldberg,1
15,Gorlosen,1
17,Waren,5
17,Neukloster,4
17,Brüel,3
17,Schwerin,3
17,Krakow,2
17,Lübtheen,2
17,Röbel/Müritz,2
17,Sanitz,2
17,Teterow,2
17,Völkshagen,2
18,Cambs,1
18,Dambeck,1
18,Hof Tatschow,1
18,Malchow,1
18,Neukalen,1
18,Teschow,1
